"","ogrid_name","ogrid_cde","n_active_feestate","n_inactive_feestate","n_lowprod_feestate","sum_wells_feestate","sum_wells_100000","tot_plugcost_active_feestate","tot_plugcost_inactive_feestate","total_plugcost","plug_cost_lowprod"
"1","801 LLC",269267,4,0,4,4,4e+05,288428.428434984,0,288428.428434984,288428.428434984
"2","ABO EMPIRE, LLC",371762,0,2,2,2,2e+05,0,97907.1071087461,97907.1071087461,97907.1071087461
"3","ACOMA OIL CORP",184,2,1,1,3,3e+05,175068,78720,253788,78720
"4","ADVANCE ENERGY PARTNERS HAT MESA, LLC",372417,42,0,0,42,4200000,9196836,0,9196836,0
"5","ADVANCED WIRELESS COMMUNICATIONS, L.L.C.",371710,52,2,9,54,5400000,2843713.67771865,92699.1071087461,2936412.7848274,515599.53554373
"6","AGHORN OPERATING INC",184357,0,1,1,1,1e+05,0,142800,142800,142800
"7","ALTA MESA SERVICES, LP",295752,0,1,1,1,1e+05,0,216000,216000,216000
"8","AMEREDEV OPERATING, LLC",372224,9,0,0,9,9e+05,2006496,0,2006496,0
"9","AMERICO ENERGY RESOURCES LLC",228051,9,3,3,12,1200000,843408,339720,1183128,339720
"10","AMTEX ENERGY INC",785,4,0,0,4,4e+05,659880,0,659880,0
"11","APACHE CORPORATION",873,1596,234,385,1830,1.83e+08,117428578.066312,16688877.1051985,134117455.17151,27863341.4615909
"12","ARMSTRONG ENERGY CORP",1092,65,4,6,69,6900000,7979460,551280,8530740,791280
"13","ASCENT ENERGY, LLC.",325830,1,1,2,2,2e+05,138000,151440,289440,289440
"14","ASHER ENTERPRISES LTD. CO.",149538,1,1,1,2,2e+05,149100,164412,313512,164412
"15","ASPEN OPERATING COMPANY LLC",217598,2,2,2,4,4e+05,294180,315240,609420,315240
"16","AVRA OIL CO",1340,1,0,0,1,1e+05,145500,0,145500,0
"17","Abo Petroleum, LLC",330655,1,0,0,1,1e+05,72107.1071087461,0,72107.1071087461,0
"18","Acacia Operating Company, LLC",330522,7,4,11,11,1100000,486668.428434984,239459.107108746,726127.53554373,726127.53554373
"19","Alpha Energy Partners LLC",330859,1,0,0,1,1e+05,72107.1071087461,0,72107.1071087461,0
"20","Amalgamated Sludge NM, LLC",330984,31,0,0,31,3100000,3295631.10710875,0,3295631.10710875,0
"21","B2J, L.L.C.",270085,2,0,2,2,2e+05,109764,0,109764,109764
"22","BAM Permian Operating, LLC",328565,48,0,2,48,4800000,5390725.28530495,0,5390725.28530495,307332
"23","BAR V BARB LLC",371067,0,2,2,2,2e+05,0,144214.214217492,144214.214217492,144214.214217492
"24","BC & D OPERATING INC.",25670,1,0,0,1,1e+05,68232,0,68232,0
"25","BEACH EXPLORATION INC",1903,1,0,0,1,1e+05,163584,0,163584,0
"26","BENSON-MONTIN-GREER DRILLING CORP",2096,14,0,1,14,1400000,1020792.3924137,0,1020792.3924137,83400
"27","BLACK MOUNTAIN OPERATING LLC",371127,0,1,1,1,1e+05,0,56400,56400,56400
"28","BLACKBEARD OPERATING, LLC",370767,0,2,2,2,2e+05,0,96000,96000,96000
"29","BLACKWELL OPERATING LLC",371293,3,0,0,3,3e+05,127680,0,127680,0
"30","BLUE RUBY OPERATING, LLC",371553,0,8,8,8,8e+05,0,1106231.10710875,1106231.10710875,1106231.10710875
"31","BLUE SKY NM, INC.",300825,0,18,18,18,1800000,0,1261820.82084868,1261820.82084868,1261820.82084868
"32","BOBBY MCKAY DBA 5 A OIL COMPANY",215322,1,0,0,1,1e+05,52440,0,52440,0
"33","BOGE, INC.",292731,4,0,0,4,4e+05,425160,0,425160,0
"34","BOLACK MINERALS CO",2647,0,1,1,1,1e+05,0,7560,7560,7560
"35","BP AMERICA PRODUCTION COMPANY",778,0,3,3,3,3e+05,0,216321.321326238,216321.321326238,216321.321326238
"36","BRADLEY MCINROE DBA BIG AL OIL & GAS",193484,0,3,3,3,3e+05,0,151536,151536,151536
"37","BREITBURN OPERATING LP",370080,104,12,49,116,11600000,7032312,768948,7801260,2616036
"38","BRIDWELL OIL CO",2832,5,0,0,5,5e+05,482436,0,482436,0
"39","BTA OIL PRODUCERS, LLC",260297,86,1,4,87,8700000,10489824.7848274,151152,10640976.7848274,545688
"40","BUFFCO PRODUCTION, INC.",370841,0,1,1,1,1e+05,0,72107.1071087461,72107.1071087461,72107.1071087461
"41","BURGUNDY OIL & GAS OF N M INC",3044,56,0,17,56,5600000,3832287.85591486,0,3832287.85591486,1185526.60663119
"42","BXP Operating, LLC",329487,184,70,164,254,25400000,13087386.4265248,4844335.92795743,17931722.3544822,10646466.4265248
"43","Big Star Investments, LLC",331180,7,0,1,7,7e+05,616667.107108746,0,616667.107108746,59880
"44","Black Top Operating, LLC",331451,12,0,4,12,1200000,1483920,0,1483920,316800
"45","C&D MANAGEMENT COMPANY DBA FREEDOM VENTURES",231382,0,1,1,1,1e+05,0,72107.1071087461,72107.1071087461,72107.1071087461
"46","CAMBRIAN MANAGEMENT LTD",198688,1,5,5,6,6e+05,107700,629496,737196,629496
"47","CAMERON OIL & GAS INC",181109,42,1,19,43,4300000,2679459.96397871,45960,2725419.96397871,946762.214217492
"48","CANO PETRO OF NEW MEXICO, INC.",248802,0,126,126,126,12600000,0,5674392,5674392,5674392
"49","CANYON E & P COMPANY",269864,0,142,142,142,14200000,0,9418563.53172329,9418563.53172329,9418563.53172329
"50","CAPROCK EXPLORATION INC",3675,1,0,1,1,1e+05,72107.1071087461,0,72107.1071087461,72107.1071087461
"51","CAZA OPERATING, LLC",249099,29,2,3,31,3100000,4935671.10710875,298200,5233871.10710875,370307.107108746
"52","CCC OIL & GAS LLC",371956,0,2,2,2,2e+05,0,86940,86940,86940
"53","CFM OIL, LLC",280554,24,63,87,87,8700000,1730570.57060991,4300819.31941602,6031389.89002592,6031389.89002592
"54","CHAPARRAL OIL & GAS CO",4076,1,0,0,1,1e+05,27600,0,27600,0
"55","CHEVRON MIDCONTINENT, L.P.",241333,13,45,49,58,5800000,1200790.21421749,3377081.74976122,4577871.96397871,3626141.74976122
"56","CHEVRON U S A INC",4323,70,71,75,141,14100000,9824763.96397872,6464165.24928367,16288929.2132624,6786173.24928367
"57","CHI OPERATING INC",4378,19,1,6,20,2e+06,2220754.21421749,117600,2338354.21421749,577091.107108746
"58","CHISHOLM ENERGY OPERATING, LLC",372137,0,1,1,1,1e+05,0,134184,134184,134184
"59","CHISOS, LTD",215732,3,1,1,4,4e+05,288214.214217492,144000,432214.214217492,144000
"60","CHRISTMAS, LLC",258692,1,0,0,1,1e+05,40140,0,40140,0
"61","CIMAREX ENERGY CO.",215099,48,12,13,60,6e+06,9195900,1698264,10894164,1885344
"62","CIMAREX ENERGY CO. OF COLORADO",162683,89,45,49,134,13400000,13504747.5355437,4720307.49952244,18225055.0350662,5373083.49952244
"63","CITATION OIL & GAS CORP",4537,39,0,0,39,3900000,1943230.21421749,0,1943230.21421749,0
"64","CKG ENERGY, INC.",221076,0,8,8,8,8e+05,0,696000,696000,696000
"65","CML EXPLORATION, LLC",256512,32,0,4,32,3200000,3568824,0,3568824,412800
"66","COBALT OPERATING, LLC",286255,0,1,1,1,1e+05,0,72107.1071087461,72107.1071087461,72107.1071087461
"67","COG OPERATING LLC",229137,522,43,69,565,56500000,89756225.7497612,4555411.92795743,94311637.6777187,8055042.14217492
"68","COG PRODUCTION, LLC",217955,58,1,2,59,5900000,10002936,149520,10152456,284544
"69","COLEMAN OIL & GAS INC",4838,3,0,0,3,3e+05,133127.107108746,0,133127.107108746,0
"70","COLGATE OPERATING, LLC",371449,44,4,5,48,4800000,6418469.74976122,517259.107108746,6935728.85686997,655259.107108746
"71","CONOCOPHILLIPS COMPANY",217817,9,8,9,17,1700000,1175119.53554373,1030905.32132624,2206024.85686997,1103012.42843498
"72","CONTINENTAL RESOURCES, INC.",372548,1,0,0,1,1e+05,246948,0,246948,0
"73","CROSS TIMBERS ENERGY, LLC",298299,192,21,36,213,21300000,15517222.2824396,1909537.28530495,17426759.5677446,3203912.82084868
"74","CROWNQUEST OPERATING, LLC",213190,5,5,7,10,1e+06,598200,650400,1248600,890400
"75","Catena Resources Operating, LLC",328449,47,5,9,52,5200000,7191874.21421749,818628,8010502.21421749,1388880
"76","Contango Resources, LLC",330447,339,65,81,404,40400000,23230586.5706099,5803195.92795743,29033782.4985673,7209806.57060991
"77","Copper Ridge Resources, LLC",329772,4,1,5,5,5e+05,501467.107108746,144192,645659.107108746,645659.107108746
"78","Craft Operating NM LLC",373962,1,0,0,1,1e+05,50400,0,50400,0
"79","D.W.R. OIL PROPERTIES, INC.",328643,4,0,1,4,4e+05,351540,0,351540,96000
"80","DAVID H ARRINGTON OIL & GAS INC",5898,3,7,7,10,1e+06,247367.107108746,645036,892403.107108746,645036
"81","DAVID R. HINSON",260206,0,1,1,1,1e+05,0,19800,19800,19800
"82","DC ENERGY LLC",268370,0,2,2,2,2e+05,0,99168,99168,99168
"83","DELONG, LC",258950,0,1,1,1,1e+05,0,72107.1071087461,72107.1071087461,72107.1071087461
"84","DEVON ENERGY PRODUCTION COMPANY, LP",6137,302,41,48,343,34300000,54152117.7497612,5545484.42843498,59697602.1781962,6360965.74976122
"85","DGP ENERGY, LLC",372583,2,0,0,2,2e+05,469632,0,469632,0
"86","DIAMOND S ENERGY COMPANY",291444,7,0,0,7,7e+05,511140,0,511140,0
"87","DJR OPERATING, LLC",371838,17,1,1,18,1800000,1877686.21421749,69060,1946746.21421749,69060
"88","DKD Production, LLC",331286,2,0,0,2,2e+05,104208,0,104208,0
"89","DOMINION PRODUCTION COMPANY, LLC",291567,0,77,77,77,7700000,0,2863574.57060991,2863574.57060991,2863574.57060991
"90","DRIFTWOOD OIL, LLC",213843,5,0,3,5,5e+05,232235.107108746,0,232235.107108746,119484
"91","DUGAN PRODUCTION CORP",6515,151,6,16,157,15700000,6198405.10519853,124356,6322761.10519853,789699.963978715
"92","DWIGHT A TIPTON",6550,53,7,60,60,6e+06,3592650.92700232,451211.107108746,4043862.03411107,4043862.03411107
"93","Dakota Resources, Inc",5691,1,2,2,3,3e+05,127584,222000,349584,222000
"94","E G L RESOURCES INC",173413,4,0,4,4,4e+05,573720,0,573720,573720
"95","EASTLAND OIL CO",22767,11,1,8,12,1200000,727456.856869969,72107.1071087461,799563.963978715,495042.642652476
"96","EDWIN SMITH, LLC",243805,0,1,1,1,1e+05,0,23796,23796,23796
"97","EL RAN INC",7109,0,2,2,2,2e+05,0,216107.107108746,216107.107108746,216107.107108746
"98","ELMIRA T WELCH",7192,0,1,1,1,1e+05,0,27600,27600,27600
"99","ENCORE OPERATING LP",189951,0,1,1,1,1e+05,0,90000,90000,90000
"100","ENDEAVOR ENERGY RESOURCES, LP",190595,25,21,25,46,4600000,2683569.32132624,1694820,4378389.32132624,2147892
"101","ENDURA ENERGY LLC",215879,5,0,0,5,5e+05,399540,0,399540,0
"102","ENDURING RESOURCES, LLC",372286,194,1,3,195,19500000,12431789.9260472,42000,12473789.9260472,171707.107108746
"103","ENERDYNE, LLC",185239,0,12,12,12,1200000,0,541949.749761223,541949.749761223,541949.749761223
